State,2000,Presidential0,House0,2002,House1,2004,Presidential1,House2,2006,House3,2008,Presidential2,House4,2010,House5,2012,Presidential3,House6,2014,House7,2016,Presidential4,House8,2018,House9,latitude,longitude,name,desc,color,source,precision
South Dakota,57.7,Republican,Republican,60.7,Republican,68.2,Republican,Democrat,57.8,Democrat,64.7,Republican,Democrat,52.9,Republican,59.3,Republican,Republican,44.3,Republican,58.6,Republican,Republican,53.3,Republican,44.4361496,-100.2305069,South Dakota,South Dakota,,Bing Maps,state/province
Tennessee,49.9,Republican,Republican,39.6,Democrat,56.3,Republican,Democrat,41.4,Democrat,57,Republican,Democrat,34.6,Republican,51.9,Republican,Republican,28.6,Republican,51.1,Republican,Republican,45.1,Republican,35.8430023,-86.3430481,Tennessee,Tennessee,,Bing Maps,state/province
Texas,49.2,Republican,Democrat,34.2,Democrat,53.7,Republican,Republican,30.9,Republican,54.1,Republican,Republican,32.1,Republican,49.6,Republican,Republican,28.3,Republican,51.4,Republican,Republican,46.3,Republican,31.4627552,-99.3330307,Texas,Texas,,Bing Maps,state/province
Utah,53.8,Republican,Republican,37,Republican,58.9,Republican,Republican,34.3,Republican,56,Republican,Republican,36.3,Republican,55.5,Republican,Republican,29.7,Republican,56.8,Republican,Republican,52,Republican,39.3237381,-111.6782379,Utah,Utah,,Bing Maps,state/province
Vermont,64.1,Democrat,Independent,48.8,Independent,66.3,Democrat,Independent,54.9,Democrat,67.3,Democrat,Democrat,49.4,Democrat,60.7,Democrat,Democrat,38.9,Democrat,63.7,Democrat,Democrat,55.9,Democrat,44.0752029,-72.6626892,Vermont,Vermont,,Bing Maps,state/province
Virginia,54,Republican,Republican,29,Republican,60.6,Republican,Republican,44,Republican,67,Democrat,Democrat,38.7,Republican,66.1,Democrat,Republican,36.6,Republican,66.1,Democrat,Republican,54.8,Democrat,37.5127869,-78.6980972,Virginia,Virginia,,Bing Maps,state/province
Washington,60.7,Democrat,Democrat,41.8,Democrat,66.9,Democrat,Democrat,47.3,Democrat,66.6,Democrat,Democrat,53.2,Democrat,64.8,Democrat,Democrat,41.2,Democrat,64.7,Democrat,Democrat,58.9,Democrat,47.4112968,-120.5562668,Washington,Washington,,Bing Maps,state/province
West Virginia,46.6,Republican,Democrat,31.2,Democrat,54.1,Republican,Democrat,32.8,Democrat,49.9,Republican,Democrat,36.8,Republican,46.3,Republican,Republican,31.2,Republican,50.2,Republican,Republican,42.5,Republican,38.6424141,-80.6136169,West Virginia,West Virginia,,Bing Maps,state/province
Wisconsin,67.6,Democrat,Democrat,45.4,Republican,74.8,Democrat,Republican,53.2,Democrat,72.4,Democrat,Democrat,52,Republican,72.9,Democrat,Republican,56.6,Republican,69.5,Republican,Republican,61.7,Democrat,44.6417847,-89.7367401,Wisconsin,Wisconsin,,Bing Maps,state/province
Wyoming,59.2,Republican,Republican,50.1,Republican,65.7,Republican,Republican,51.1,Republican,62.8,Republican,Republican,45.5,Republican,58.6,Republican,Republican,39,Republican,59.5,Republican,Republican,48.7,Republican,42.9995766,-107.5515213,Wyoming,Wyoming,,Bing Maps,state/province
